Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
-2.86992	-78.83875	-2.86992;-78.83875	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.79492	-78.93075	-2.79492;-78.93075	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.79756	-78.92944	-2.79756;-78.92944	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.80614	-78.91961	-2.80614;-78.91961	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.80514	-78.90917	-2.80514;-78.90917	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.79964	-78.89786	-2.79964;-78.89786	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.79972	-78.89786	-2.79972;-78.89786	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.81639	-78.87883	-2.81639;-78.87883	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.71625	-78.89306	-2.71625;-78.89306	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.71361	-78.89211	-2.71361;-78.89211	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.71486	-78.89314	-2.71486;-78.89314	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.71456	-78.891	-2.71456;-78.891	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.71453	-78.89025	-2.71453;-78.89025	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.98833	-78.80919	-2.98833;-78.80919	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.93636	-78.79547	-2.93636;-78.79547	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.00297	-78.81175	-3.00297;-78.81175	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.92547	-78.79442	-2.92547;-78.79442	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.93325	-78.79581	-2.93325;-78.79581	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.94397	-78.79361	-2.94397;-78.79361	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.00336	-78.85292	-3.00336;-78.85292	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-2.94589	-78.81528	-2.94589;-78.81528	sed, 	66.0	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-14.527	-67.497	-14.527;-67.497	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-11.212	-66.249	-11.212;-66.249	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-11.112	-66.416	-11.112;-66.416	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-10.82	-66.11	-10.82;-66.11	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-10.55	-65.6	-10.55;-65.6	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-18.609	-65.162	-18.609;-65.162	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-18.082	-63.457	-18.082;-63.457	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-17.21701	-65.81849	-17.21701;-65.81849	sed, 	464.6	21.0	sedimentary rocks | paleozoic sedimentary rocks | 
-18.909	-63.41	-18.909;-63.41	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-16.841	-64.787	-16.841;-64.787	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-14.864	-64.99	-14.864;-64.99	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-12.80401	-65.00486	-12.80401;-65.00486	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-10.808	-65.346	-10.808;-65.346	met, 	769.4	231.0	low grade unclassified metamorphic rock | neoproterozoic crystalline metamorphic rocks | 
-8.77	-63.909	-8.77;-63.909	plut, ign, 	1300.0	300.0	intrusive igneous rocks | mesoproterozoic intrusive rocks | 
-5.05519	-73.86161	-5.05519;-73.86161	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-4.00552	-73.16584	-4.00552;-73.16584	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.70179	-73.22513	-3.70179;-73.22513	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.34256	-60.67891	-3.34256;-60.67891	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.01888	-60.4828	-3.01888;-60.4828	sed, 	73.79	71.0	sedimentary rocks | mesozoic-cenozoic sedimentary rocks | 
-1.35835	-61.86859	-1.35835;-61.86859	sed, 	2.58	NaN	sedimentary rocks | cenozoic sedimentary rocks | 
-3.28952	-58.88314	-3.28952;-58.88314	sed, 	73.79	71.0	sedimentary rocks | mesozoic-cenozoic sedimentary rocks | 
