agemax	agemin	age	rocktype	rockname	rockdescrip	rockstratname	rockcomments	refstrings	Latitude	Longitude
538.8	419.2	479.0	intrusive igneous rocks	paleozoic intrusive rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	-32.91491	-71.50809
145.0	2.58	73.79	sedimentary rocks	mesozoic-cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	-43.34211	-65.05582
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-50.94215	-69.16589
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-47.76019	-65.87023
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-51.59543	-68.97072
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-50.13082	-68.34763
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	1.23659	-49.90276
NaN	1600.0	1600.0	medium-high grade orthogneiss/paragneiss/metavolcanic gneiss	archean-paleoproterozoic crystalline metamorphic rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	-14.2745	-38.99182
66.0	2.58	34.29	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	-19.64316	-39.81253
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-1.09606	-46.04733
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	-26.91291	-48.64177
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-2.77199	-44.16292
66.0	2.58	34.29	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	-4.42369	-37.76684
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-15.84445	-38.85599
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-2.41174	-44.33102
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-18.09547	-39.54951
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-12.8336	-38.79515
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	-21.61727	-41.01591
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-2.73943	-41.79471
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	-0.46997	-48.23149
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	4.68237	-51.95623
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	5.7302	-53.83981
