Country,Location,Station ID,Short-term erosion rate (mm kyr^-1),Basin area (km^2),Latitude,Longitude,Koppen¡VGeiger classification,Aridity Index,Aridity Index category,Reference
US,Hocking River at Athens OH,3159500,42.39802477,2442.358684,39.328889,-82.087778,Df,0.8884,Humid,USGS
US,BIG COAL RIVER NEAR ALUM CREEK WV,3198550,122.7938018,1152.54466,38.25,-81.798333,Cf,0.9607,Humid,USGS
US,LITTLE COAL RIVER AT DANVILLE WV,3199000,134.1031528,696.706772,38.0798226,-81.8362346,Cf,0.9688,Humid,USGS
US,LITTLE COAL RIVER AT JULIAN WV,3199400,134.3709223,823.616184,38.154722,-81.8525,Cf,0.9803,Humid,USGS
US,COAL RIVER AT ALUM CREEK WV,3199700,130.9008537,2167.819956,38.286667,-81.806667,Cf,0.9481,Humid,USGS
US,COAL RIVER AT TORNADO WV,3200500,109.8722729,2232.569656,38.3389831,-81.841518,Cf,0.9322,Humid,USGS
US,GUYANDOTTE RIVER NEAR BAILEYSVILLE WV,3202400,91.99402725,792.536328,37.603889,-81.645278,Cf,1.0069,Humid,USGS
US,LEVISA FORK AT BIG ROCK VA,3207800,327.4532165,769.226436,37.35372,-82.1956935,Cf,0.9338,Humid,USGS
US,DICKS FORK AT PHYLLIS KY,3207962,65.37896083,2.12379016,37.449167,-82.337778,Cf,0.9522,Humid,USGS
US,GRAPEVINE CREEK NEAR PHYLLIS KY,3207965,305.9310758,16.0579256,37.4325,-82.353889,Cf,0.9618,Humid,USGS
US,JOHNS CREEK NEAR META KY,3210000,258.7385501,145.8163244,37.566944,-82.458056,Cf,0.9341,Humid,USGS
US,TYGARTS CREEK NEAR GREENUP KY,3217000,58.26040595,626.777096,38.5642453,-82.9521158,Cf,0.8954,Humid,USGS
US,Little Darby Creek at West Jefferson OH,3230310,28.35585023,419.578056,39.951111,-83.269444,Df,0.8906,Humid,USGS
US,Hellbranch Run near Harrisburg OH,3230450,32.33751849,92.7215704,39.8478411,-83.1573375,Df,0.8953,Humid,USGS
US,Big Darby Creek at Darbyville OH,3230500,44.76658957,1383.053592,39.700556,-83.110278,Df,0.8865,Humid,USGS
US,Paint Creek near Bourneville OH,3234000,78.1726688,2090.120316,39.263611,-83.166944,Df,0.9074,Humid,USGS
US,Little Miami River near Selma OH,3239000,20.58863639,126.6504132,39.81,-83.739167,Df,0.9446,Humid,USGS
US,North Fork Little Miami River near Pitchin OH,3239500,9.111304794,74.8506532,39.827778,-83.777222,Df,0.9435,Humid,USGS
US,Little Miami River near Oldtown OH,3240000,21.1348307,334.108452,39.748333,-83.931389,Df,0.9288,Humid,USGS
US,Massies Creek at Wilberforce OH,3241500,32.44613457,163.6872416,39.722389,-83.882306,Df,0.9428,Humid,USGS
US,Todd Fork near Roachester OH,3244000,121.6479427,567.207372,39.335278,-84.086667,Df,0.9658,Humid,USGS
US,LICKING RIVER AT FARMERS KY,3249500,48.77779738,2141.920076,38.115278,-83.543333,Cf,0.97,Humid,USGS
US,Great Miami River at Sidney OH,3261500,36.40834174,1401.183508,40.286944,-84.15,Df,0.9092,Humid,USGS
US,Loramie Creek near Newport OH,3261950,39.08442733,393.678176,40.306944,-84.383889,Df,0.8945,Humid,USGS
US,Stillwater River at Pleasant Hill OH,3265000,37.1836801,1302.763964,40.0578292,-84.3560589,Df,0.9017,Humid,USGS
US,MIDDLE FORK KENTUCKY RIVER NEAR HYDEN KY,3280600,105.1384894,523.177576,37.146303,-83.381586,Cf,1.0181,Humid,USGS
