Reference	Reference DOI	Sample_ID	Location_ID	Basin_ID	Basin	Place	Region	Latitude	Longitude	Elevation	Season	Observation Type	Sample Type	filtersize_mum	Area (km2)	Time interval (yr)	Discharge_m3_s	Annual_Discharge_m3_s	TSS_mg_L	TSS_kg_s	TSS_km3_yr	Erosion rate (mm/yr)	Sand_perc	Silt_perc	Clay_perc
Rousseau et al., 2019		BRA-AMZ-111111-ROU9	BRA-AMZ-111111	1001	Amazon	Obidos	Brazil	-3	-55	37	Autumn	single	SS	0.22	7000000	0.00273972602739726	93460	215000	12.4	2666	0.03113888	0.00444841142857143			
Viers et al., 2008		BRA-AMZ-111117-VRS1	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Winter	single	SS	0.22	7000000	0.00273972602739726		215000	178	38270	0.4469936	0.0638562285714286			
Viers et al., 2008		BRA-AMZ-111117-VRS10	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Autumn	single	SS	0.22	7000000	0.00273972602739726		215000	100	21500	0.25112	0.0358742857142857			
Viers et al., 2008		BRA-AMZ-111117-VRS11	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Winter	single	SS	0.22	7000000	0.00273972602739726		215000	78	16770	0.1958736	0.0279819428571429			
Viers et al., 2008		BRA-AMZ-111117-VRS12	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Winter	single	SS	0.22	7000000	0.00273972602739726		215000	153	32895	0.3842136	0.0548876571428571			
Viers et al., 2008		BRA-AMZ-111117-VRS2	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Winter	single	SS	0.22	7000000	0.00273972602739726		215000	99	21285	0.2486088	0.0355155428571429			
Viers et al., 2008		BRA-AMZ-111117-VRS3	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Spring	single	SS	0.22	7000000	0.00273972602739726		215000	134	28810	0.3365008	0.0480715428571429			
Viers et al., 2008		BRA-AMZ-111117-VRS4	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Spring	single	SS	0.22	7000000	0.00273972602739726		215000	107	23005	0.2686984	0.0383854857142857			
Viers et al., 2008		BRA-AMZ-111117-VRS5	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Spring	single	SS	0.22	7000000	0.00273972602739726		215000	79	16985	0.1983848	0.0283406857142857			
Viers et al., 2008		BRA-AMZ-111117-VRS6	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Summer	single	SS	0.22	7000000	0.00273972602739726		215000	46	9890	0.1155152	0.0165021714285714			
Viers et al., 2008		BRA-AMZ-111117-VRS7	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Summer	single	SS	0.22	7000000	0.00273972602739726		215000	67	14405	0.1682504	0.0240357714285714			
Viers et al., 2008		BRA-AMZ-111117-VRS8	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Autumn	single	SS	0.22	7000000	0.00273972602739726		215000	66	14190	0.1657392	0.0236770285714286			
Viers et al., 2008		BRA-AMZ-111117-VRS9	BRA-AMZ-111117	1001	Amazon	Mancapuru, Amazonas, Brazil	Brazil	-3.2045	-60.3312		Autumn	single	SS	0.22	7000000	0.00273972602739726		215000	48	10320	0.1205376	0.0172196571428571			
Viers et al., 2008		BRA-AMZ-111118-VRS1	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Winter	single	SS	0.22	7000000	0.00273972602739726		215000	1447	311105	3.6337064	0.519100914285714			
Viers et al., 2008		BRA-AMZ-111118-VRS10	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Autumn	single	SS	0.22	7000000	0.00273972602739726		215000	24	5160	0.0602688	0.00860982857142857			
Viers et al., 2008		BRA-AMZ-111118-VRS11	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Winter	single	SS	0.22	7000000	0.00273972602739726		215000	440	94600	1.104928	0.157846857142857			
Viers et al., 2008		BRA-AMZ-111118-VRS2	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Winter	single	SS	0.22	7000000	0.00273972602739726		215000	856	184040	2.1495872	0.307083885714286			
Viers et al., 2008		BRA-AMZ-111118-VRS3	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Spring	single	SS	0.22	7000000	0.00273972602739726		215000	575	123625	1.44394	0.206277142857143			
Viers et al., 2008		BRA-AMZ-111118-VRS4	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Spring	single	SS	0.22	7000000	0.00273972602739726		215000	501	107715	1.2581112	0.179730171428571			
Viers et al., 2008		BRA-AMZ-111118-VRS5	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Spring	single	SS	0.22	7000000	0.00273972602739726		215000	429	92235	1.0773048	0.153900685714286			
Viers et al., 2008		BRA-AMZ-111118-VRS6	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Summer	single	SS	0.22	7000000	0.00273972602739726		215000	202	43430	0.5072624	0.0724660571428571			
Viers et al., 2008		BRA-AMZ-111118-VRS7	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Summer	single	SS	0.22	7000000	0.00273972602739726		215000	82	17630	0.2059184	0.0294169142857143			
Viers et al., 2008		BRA-AMZ-111118-VRS8	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Autumn	single	SS	0.22	7000000	0.00273972602739726		215000	176	37840	0.4419712	0.0631387428571429			
Viers et al., 2008		BRA-AMZ-111118-VRS9	BRA-AMZ-111118	1001	Amazon	Porto Velho, Rodonia, Brazil	Brazil	-8.4412	-63.5513		Autumn	single	SS	0.22	7000000	0.00273972602739726		215000	133	28595	0.3339896	0.0477128			
Guinoiseau et al., 2016		BRA-AMZ-111119-GUI1	BRA-AMZ-111119	1001	Amazon	Amazonas, Brazil	Brazil	-3.21	-59.94		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	132.6	28509	0.33298512	0.0475693028571429			
Guinoiseau et al., 2016		BRA-AMZ-111120-GUI1	BRA-AMZ-111120	1001	Amazon	Amazonas, Brazil	Brazil	-3.21484	-59.94098		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	155.5	33432.5	0.3904916	0.0557845142857143			
Guinoiseau et al., 2016		BRA-AMZ-111121-GUI1	BRA-AMZ-111121	1001	Amazon	Amazonas, Brazil	Brazil	-3.21493	-59.941		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	130.3	28014.5	0.32720936	0.0467441942857143			
Guinoiseau et al., 2016		BRA-AMZ-111122-GUI1	BRA-AMZ-111122	1001	Amazon	Amazonas, Brazil	Brazil	-3.21477	-59.94104		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	152.4	32766	0.38270688	0.0546724114285714			
Guinoiseau et al., 2016		BRA-AMZ-111123-GUI1	BRA-AMZ-111123	1001	Amazon	Amazonas, Brazil	Brazil	-3.21477	-59.94103		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	137.3	29519.5	0.34478776	0.0492553942857143			
Guinoiseau et al., 2016		BRA-AMZ-111124-GUI1	BRA-AMZ-111124	1001	Amazon	Amazonas, Brazil	Brazil	-3.21732	-59.94028		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	134.2	28853	0.33700304	0.0481432914285714			
Guinoiseau et al., 2016		BRA-AMZ-111125-GUI1	BRA-AMZ-111125	1001	Amazon	Amazonas, Brazil	Brazil	-3.21793	-59.94019		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	149	32035	0.3741688	0.0534526857142857			
Guinoiseau et al., 2016		BRA-AMZ-111126-GUI1	BRA-AMZ-111126	1001	Amazon	Amazonas, Brazil	Brazil	-3.21772	-59.94016		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	169.6	36464	0.42589952	0.0608427885714286			
Guinoiseau et al., 2016		BRA-AMZ-111127-GUI1	BRA-AMZ-111127	1001	Amazon	Amazonas, Brazil	Brazil	-3.21793	-59.94022		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	153.8	33067	0.38622256	0.0551746514285714			
Guinoiseau et al., 2016		BRA-AMZ-111128-GUI1	BRA-AMZ-111128	1001	Amazon	Amazonas, Brazil	Brazil	-3.22027	-59.94049		Autumn	single	SS	0.22	7000000	0.00273972602739726	50.778	215000	198.9	42763.5	0.49947768	0.0713539542857143			
